羞羞的铁拳,喜剧/奇幻 ,宋阳 Yang Song / 张吃鱼 ,艾伦 Allen,"7.2/10 from 227,529 users ",ftp://ygdy8:ygdy8@yg90.dydytt.net:8229/[阳光电影www.ygdy8.net].羞羞的铁拳.HD.720p.国语中字.mkv
恋爱之瘾,剧情/喜剧/爱情 ,蔡洁铃 Jieling Cai ,岑日珈 Angie Shum, ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7017/[阳光电影www.ygdy8.net].恋爱之瘾.BD.720p.国粤双语中字.mkv
嘉年华,剧情 ,文晏 Vivian Qu ,文淇 Qi Wen,"8.5/10 from 44,869 users ",ftp://ygdy8:ygdy8@yg90.dydytt.net:8227/[阳光电影www.ygdy8.net].嘉年华.HD.1080p.国语中字.mp4
降魔传,喜剧/奇幻 ,王晶 Jing Wong / 钟少雄 Siu-hung Chung ,郑恺 Kai Zheng, ,ftp://ygdy8:ygdy8@yg72.dydytt.net:8106/[阳光电影www.ygdy8.net].降魔传.HD.720p.国粤双语中字.mkv
谜证,剧情/犯罪/悬疑 ,汪洋 ,苗侨伟 Kiu Wai Miu,5.6/10 from 147 users ,ftp://ygdy8:ygdy8@yg72.dydytt.net:6017/[阳光电影www.ygdy8.net].谜证.HD.720p.国语中字.mkv
兄弟，别闹！,喜剧 ,高晓攀 Xiaopan Gao / 孙集斌 Jibin Sun ,高晓攀 Xiaopan Gao, ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7015/[阳光电影www.ygdy8.net].兄弟，别闹！.HD.720p.国语中字.mkv
追龙,动作/犯罪 ,王晶 Jing Wong / 关智耀 Jason Kwan Chi-Yiu ,甄子丹 Donnie Yen,"7.5/10 from 68,006 users ",ftp://ygdy8:ygdy8@yg72.dydytt.net:8105/[阳光电影www.ygdy8.net].追龙.HD.720p.国语中字.mkv
常在你左右,犯罪/悬疑 ,邱礼涛 Herman Yau ,古天乐 Louis Koo,"5.2/10 from 3,023 users ",ftp://ygdy8:ygdy8@yg90.dydytt.net:8223/[阳光电影www.ygdy8.net].常在你左右.BD.720p.国粤双语中字.mkv
密战,剧情/动作/战争 ,钟少雄 Siu-hung Chung ,郭富城 Aaron Kwok, ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7012/[阳光电影www.ygdy8.net].密战.HD.720p.国语中字.mkv
天生不对,喜剧/爱情 ,谷德昭 Vincent Kok ,周渝民 Vic Chou, ,ftp://ygdy8:ygdy8@yg72.dydytt.net:7011/[阳光电影www.ygdy8.net].天生不对.HD.720p.国语中字.mkv
